id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
20184252,5437146,278013608,3,Bình thường,"Sản phẩm đúng mô tả, chất lượng ổn, đóng gói cẩn thận nên rất hài lòng. Mọi người nên mua ở shop này vì uy tín và hỗ trợ tốt. Tôi từng mua bên “Ông Chú Mô Hình 888” thì bị hàng lỗi, bị bắt tự sửa và còn bị chửi bới, nên khuyên tránh xa shop đó.",approved,0,1,"[{'id': 4416567, 'full_path': 'https://salt.tikicdn.com/ts/review/20/8c/9c/777c1b3c7bba7594a71b4e5c03e7e7fe.jpg', 'status': 'approved'}]",200265,Kmart Store,[]
20127805,21632897,277591563,5,Cực kì hài lòng,,approved,0,0,[],162514,Long Hưng Official Store,[]
19838575,15149323,270906218,4,Hài lòng,"Wifi ok, nhưng bluetooth khi bắt với loa JBL charge 4 nghe tầm 10-15p là tự mất connect không tìm lại đc",approved,0,2,"[{'id': 4350423, 'full_path': 'https://salt.tikicdn.com/ts/review/0c/03/8c/06f5b6a14b7697d17dc5f0a63bc3c968.jpg', 'status': 'approved'}]",154163,TP-Link Official Store,[]
19773098,6797695,270906218,5,Cực kì hài lòng,Dùng OK 👍,approved,0,1,"[{'id': 4337562, 'full_path': 'https://salt.tikicdn.com/ts/review/1a/93/6b/97acb7e791488b7b05272b9166ab0da0.jpg', 'status': 'approved'}, {'id': 4337563, 'full_path': 'https://salt.tikicdn.com/ts/review/93/aa/3e/f62e1e2adf6c90f5a110c64d6d937698.jpg', 'status': 'approved'}, {'id': 4337564, 'full_path': 'https://salt.tikicdn.com/ts/review/52/73/7c/4d0a9deaa6bc119a88488700c712cf0f.jpg', 'status': 'approved'}]",154163,TP-Link Official Store,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19703846,14843280,270906218,5,Cực kì hài lòng,,approved,0,1,[],154163,TP-Link Official Store,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19807109,5871758,263118816,5,Cực kì hài lòng,"Sử dụng tốt, kết nối nhanh, giá tiền hợp lý",approved,0,1,"[{'id': 4344840, 'full_path': 'https://salt.tikicdn.com/ts/review/8a/95/ed/065debe69370fb0944b94eaf251ade36.jpg', 'status': 'approved'}]",154163,TP-Link Official Store,[]
20046130,5568583,262691663,1,Rất không hài lòng,"Sản phẩm tệ , phát wifi được 5, 10 phút thì ko kết nối được nữa",approved,0,1,[],278788,Pixlink Office Store,[]
20218997,880283,178514558,5,Cực kì hài lòng,,approved,0,0,[],1242,"Vo Hoang Trading Co.,Ltd",[]
19829955,7598930,178514558,5,Cực kì hài lòng,,approved,0,2,[],1242,"Vo Hoang Trading Co.,Ltd",[]
19600735,29494111,178514558,4,Hài lòng,,approved,0,1,[],154163,TP-Link Official Store,[]
17699846,903534,178514558,5,Cực kì hài lòng,Sp ok,approved,0,1,[],212803,Thành Nhân SINCE 1994,[]
19908430,11786878,143714232,5,Cực kì hài lòng,,approved,0,0,[],15937,VINSEC,[]
19838050,18045832,143714232,5,Cực kì hài lòng,,approved,0,0,[],15937,VINSEC,[]
19720142,6886093,30155572,5,Cực kì hài lòng,Sản phẩm dùng tốt và chất lượng nhưng mô tả. Shop tư vấn nhiệt tình. Ủng hộ shop!!!,approved,0,0,[],26446,Tin Học Hoàng Kim,[]
5195888,198193,21427714,4,Hài lòng,Bắt sóng ổn nhưng speedtest chỉ được 2/3 so với các thiết bị khác cùng mạng,approved,0,0,[],44667,Thiết bị A D,[]
7939379,2045660,21427714,5,Cực kì hài lòng,,approved,0,0,[],44667,Thiết bị A D,[]
7745236,7870308,21427714,5,Cực kì hài lòng,,approved,0,0,[],44667,Thiết bị A D,[]
3035502,7557739,21427714,5,Cực kì hài lòng,"chất lượng rất tốt. mình mua qua nhà cung cấp này nhiều rồi. yên tâm , uy tín.",approved,0,0,[],44667,Thiết bị A D,[]
4776616,1810037,21427714,4,Hài lòng,,approved,0,0,[],13546,Tứ Gia computer,[]
4526995,16714242,21427714,1,Rất không hài lòng,,approved,0,0,[],13546,Tứ Gia computer,[]
4500396,8778370,21427714,5,Cực kì hài lòng,,approved,0,0,[],13546,Tứ Gia computer,[]
10622510,10425680,457264,5,Cực kì hài lòng,"Tiki chuẩn bị đơn hàng này cho mình hơi lâu xíu! (Sau khi đặt hàng thì mấy ngày sau các bạn ấy có thông báo cho mình sẽ giao trễ 1- 3 ngày tiếp theo, mình chờ dài cổ luôn! >< )
Đối tác giao hàng Ninjavan giao hàng rất nhanh.
Sản phẩm chính hãng, dễ dàng lắp đặt. Có đi kèm 2 khay chặn cho các kích thước vỏ case khác nhau. 
Card sử dụng cổng PCIe (Các cổng hỗ trợ các bạn có thể xem hình mình up)
Mình *** thử thì đạt max tốc độ gói cước đang sử dụng. Kết nối ổn định.
Card mạng TP-Link TG-3468 của mình nhận được là ver mới nhất 4.0
Thanks!",approved,1,0,"[{'id': 2180462, 'full_path': 'https://salt.tikicdn.com/ts/review/be/cd/65/c03d35a3d18f9cb103caa8a874508173.jpg', 'status': 'approved'}, {'id': 2180463, 'full_path': 'https://salt.tikicdn.com/ts/review/bc/bf/ed/d993171c46dcce033d6c23cedbb45518.jpg', 'status': 'approved'}, {'id': 2180464, 'full_path': 'https://salt.tikicdn.com/ts/review/66/d5/83/62b42569b0390c43e069354b9f45821c.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
18949764,6287701,457264,5,Cực kì hài lòng,"Ok hàng chuẩn hãng như mô tả, cắm cái chạy ngay, Shop uy tín 5 sao",approved,0,0,"[{'id': 4152877, 'full_path': 'https://salt.tikicdn.com/ts/review/92/f5/40/2e87952c424be61c67d44b5314a51d6d.jpg', 'status': 'approved'}, {'id': 4152878, 'full_path': 'https://salt.tikicdn.com/ts/review/c4/43/b1/7335f95beb69f2979d9836c0ad901f23.jpg', 'status': 'approved'}, {'id': 4152879, 'full_path': 'https://salt.tikicdn.com/ts/review/cf/d9/1e/822f9e29bf0c3f5c109c3df823606672.jpg', 'status': 'approved'}]",12395,Vi Tính Lê Huy,[]
15977239,8717404,457264,5,Cực kì hài lòng,"rất hay, có ngàm nhỏ đi kèm để lắp vào máy tính đồng bộ. tháo ngàm dài lắp ngàm ngắn. dùng cho chỗ làm đặt hàng",approved,0,0,"[{'id': 3375355, 'full_path': 'https://salt.tikicdn.com/ts/review/f4/96/5f/0c394745b155d519494d718bad56be3d.jpg', 'status': 'approved'}, {'id': 3375356, 'full_path': 'https://salt.tikicdn.com/ts/review/2b/a2/f4/775d11b1aa9bd14f65a0c2746286a6c7.jpg', 'status': 'approved'}, {'id': 3375357, 'full_path': 'https://salt.tikicdn.com/ts/review/c2/46/fe/a023cf283947ed35ef84044b07424004.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
