customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
17677024,169198068,,915,Nova Computer,4,,,2023-11-09 22:35:38+00:00,2023-11-11 13:38:48+00:00,19654072
22717128,169198068,,154163,TP-Link Official Store,3,,,2023-12-16 07:07:34+00:00,2023-12-17 10:12:27+00:00,19685911
19985374,169198068,,154163,TP-Link Official Store,3,,,2023-10-02 16:52:04+00:00,2023-10-04 07:06:44+00:00,19568037
14116663,169198068,,154163,TP-Link Official Store,3,,,2023-11-19 18:04:14+00:00,2023-11-22 13:37:41+00:00,19665988
6097077,169198068,,915,Nova Computer,1,,,2023-10-24 03:25:22+00:00,2023-10-25 14:43:26+00:00,19624870
7403682,169198068,,154163,TP-Link Official Store,1,,,2023-05-24 05:08:10+00:00,2023-05-25 10:34:54+00:00,19247473
5708013,169198068,,154163,TP-Link Official Store,1,,,2023-05-26 06:56:26+00:00,2023-05-26 15:00:47+00:00,19233433
8409590,169198068,,154163,TP-Link Official Store,1,,,2023-01-18 09:10:07+00:00,2023-01-20 13:24:35+00:00,19170884
5199231,169198068,,154163,TP-Link Official Store,1,,,2023-04-08 04:41:25+00:00,2023-04-08 13:16:53+00:00,19089589
664414,169198068,,154163,TP-Link Official Store,2,,,2023-01-08 08:10:10+00:00,2023-01-08 16:48:21+00:00,18598082
