customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
30251306,276944901,,100773,Smart Trading,3,,,2025-01-09 01:25:45+00:00,2025-01-10 14:33:55+00:00,20064197
10666140,276944901,,100773,Smart Trading,2,,,2026-01-12 04:58:08+00:00,2026-01-17 15:33:57+00:00,20211301
22869399,276944901,,100773,Smart Trading,4,,,2025-10-01 19:42:19+00:00,2025-10-03 11:50:03+00:00,20180592
28117563,276944901,,100773,Smart Trading,3,,,2025-02-21 03:54:36+00:00,2025-02-22 14:56:21+00:00,20086288
8366209,276504703,,353876,SHOP ESTAR,4,,,2025-03-05 03:14:33+00:00,2025-03-07 13:24:25+00:00,20094471
11147391,263334590,,5346,SIEUTHIHANGCONGNGHE,2,,,2023-12-21 13:10:22+00:00,2023-12-25 13:47:53+00:00,19695288
11489612,263334590,,5346,SIEUTHIHANGCONGNGHE,3,,,2024-01-29 05:15:33+00:00,2024-01-31 14:14:38+00:00,19757660
8437233,263334590,,5346,SIEUTHIHANGCONGNGHE,4,,,2024-01-27 17:32:35+00:00,2024-01-30 13:37:21+00:00,19752116
18696700,251531894,,8595,KhueTu_Corp,2,,,2024-01-02 01:58:14+00:00,2024-01-03 13:15:14+00:00,19710034
5392677,177145547,,149312,Brother Official Store,1,,,2025-01-08 16:38:57+00:00,2025-01-10 10:23:11+00:00,20071266
5213589,177145547,,149312,Brother Official Store,1,,,2024-08-03 04:15:55+00:00,2024-08-04 15:34:52+00:00,19945281
118555,177145547,,149312,Brother Official Store,1,,,2024-07-27 00:33:27+00:00,2024-07-29 11:32:04+00:00,19939870
11647036,177145547,,149312,Brother Official Store,2,,,2023-12-29 17:25:48+00:00,2024-01-02 13:30:18+00:00,19886680
1315763,177145547,,149312,Brother Official Store,2,,,2023-03-11 14:03:02+00:00,2023-03-14 11:20:03+00:00,18973152
8984998,135420078,,218510,thietbimavach,3,,,2022-07-26 03:33:13+00:00,2022-07-29 13:17:27+00:00,17244407
28424259,135420078,,218510,thietbimavach,4,,,2022-11-05 10:50:52+00:00,2022-11-11 16:03:04+00:00,18201636
23490301,135420078,,218510,thietbimavach,2,,,2022-04-30 07:57:27+00:00,2022-05-07 15:10:10+00:00,16363714
23256861,127776665,,56716,TPPOS,2,,,2022-04-29 13:00:38+00:00,2022-05-12 18:22:02+00:00,16321422
6120351,127776665,,5411,vinet shop,2,,,2022-03-02 06:10:58+00:00,2022-03-04 10:32:57+00:00,15305042
23551836,127776665,,5411,vinet shop,2,,,2022-07-31 12:13:30+00:00,2022-08-04 11:56:18+00:00,17296025
12441440,127776665,,153486,mavachchico,3,,,2022-09-05 11:58:44+00:00,2022-09-08 13:21:47+00:00,17677535
10513891,127776665,,133062,congnghevn247,3,,,2022-02-23 04:26:46+00:00,2022-02-25 11:03:07+00:00,15287684
7864005,127776665,,5411,vinet shop,2,,,2022-09-17 07:34:16+00:00,2022-09-22 15:13:24+00:00,17812275
24847561,127776665,,5411,vinet shop,1,,,2021-11-12 00:21:46+00:00,2021-11-16 09:08:09+00:00,13292481
14071570,127776665,,153486,mavachchico,4,,,2022-06-30 12:09:44+00:00,2022-07-04 10:12:42+00:00,16983342
26911721,127776665,,153486,mavachchico,4,,,2022-04-28 03:17:19+00:00,2022-04-30 14:51:18+00:00,16242728
1371483,127776665,,153486,mavachchico,1,,,2022-03-25 05:28:52+00:00,2022-03-28 10:51:03+00:00,15643961
9699752,127776665,,153486,mavachchico,4,,,2022-03-17 08:00:18+00:00,2022-03-19 14:03:09+00:00,15885607
18656821,127776665,,5411,vinet shop,2,,,2022-01-07 04:28:51+00:00,2022-01-12 17:01:57+00:00,15041905
6494322,127776665,,5411,vinet shop,2,,,2022-01-02 09:11:36+00:00,2022-01-04 14:30:43+00:00,14912615
1000736,127776665,,133062,congnghevn247,4,,,2021-12-28 03:25:08+00:00,2021-12-30 10:38:43+00:00,14862563
7535112,127776665,,196137,VINETTEAM Official Store,3,,,2021-12-29 09:35:07+00:00,2022-01-03 10:03:25+00:00,14553961
678692,127776665,,5411,vinet shop,2,,,2021-10-29 19:01:59+00:00,2021-11-02 10:53:31+00:00,13936550
14943362,127776665,,133062,congnghevn247,3,,,2021-12-07 03:39:07+00:00,2021-12-11 10:36:03+00:00,13921495
16879901,59072144,,5346,SIEUTHIHANGCONGNGHE,2,,,2023-12-31 03:05:48+00:00,2024-01-08 16:42:38+00:00,19718264
11605531,59072144,,5346,SIEUTHIHANGCONGNGHE,1,,,2023-07-07 11:18:43+00:00,2023-07-13 15:55:11+00:00,19396317
16062959,59072144,,133062,congnghevn247,1,,,2020-09-11 11:05:01+00:00,2020-09-15 13:24:32+00:00,4912017
21711860,59072144,,5346,SIEUTHIHANGCONGNGHE,3,,,2022-10-09 02:21:40+00:00,2022-10-17 16:12:20+00:00,18003642
10367331,59072144,,5346,SIEUTHIHANGCONGNGHE,4,,,2022-09-03 14:57:00+00:00,2022-09-09 11:30:22+00:00,17663652
19935593,59072144,,5346,SIEUTHIHANGCONGNGHE,2,,,2021-10-30 08:59:30+00:00,2021-11-03 18:18:33+00:00,13223084
25788887,59072144,,5346,SIEUTHIHANGCONGNGHE,1,,,2022-05-02 02:09:27+00:00,2022-05-10 15:58:03+00:00,16298334
14844752,59072144,,133062,congnghevn247,2,,,2021-02-21 16:16:43+00:00,2021-02-23 09:40:19+00:00,7933009
12037638,59072144,,5346,SIEUTHIHANGCONGNGHE,2,,,2020-10-26 02:17:29+00:00,2020-10-31 09:14:40+00:00,5703266
6721952,56712140,,131501,Thiết bị tự động Hưng Gia,2,,,2021-07-03 01:39:10+00:00,2021-07-05 16:58:41+00:00,11167168
16734810,56712140,,131501,Thiết bị tự động Hưng Gia,4,,,2022-02-21 06:47:41+00:00,2022-02-28 17:50:18+00:00,15213268
12059113,56712140,,131501,Thiết bị tự động Hưng Gia,3,,,2021-06-06 20:39:09+00:00,2021-06-09 10:42:24+00:00,10343605
5229262,56712140,,131501,Thiết bị tự động Hưng Gia,2,,,2021-04-19 01:41:49+00:00,2021-04-21 10:21:03+00:00,9301805
24476193,56712140,,131501,Thiết bị tự động Hưng Gia,4,,,2021-10-25 03:46:24+00:00,2021-10-27 10:33:46+00:00,12964699
8810935,32079899,,45446,KỸ THUẬT TL,3,,,2019-11-06 01:00:58+00:00,2019-11-08 17:35:39+00:00,2859558
10938561,32079899,,45446,KỸ THUẬT TL,4,,,2019-11-20 04:40:28+00:00,2019-11-26 07:57:12+00:00,3917273
623785,16314108,,37343,Shop Công Nghệ VN,1,,,2020-04-12 13:18:41+00:00,2020-04-16 13:54:05+00:00,3512116
6123164,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2022-06-07 13:31:28+00:00,2022-06-09 09:37:54+00:00,16642737
22753318,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2022-07-02 12:53:35+00:00,2022-07-08 14:40:15+00:00,16987773
24613940,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2022-03-10 02:59:08+00:00,2022-03-19 12:06:18+00:00,15596706
6785848,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2023-02-14 11:35:34+00:00,2023-02-16 09:44:02+00:00,18815676
28544428,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2023-01-04 15:22:45+00:00,2023-01-06 10:15:22+00:00,18621303
17377036,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2022-12-21 03:56:07+00:00,2022-12-23 14:49:36+00:00,18505678
17291860,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2022-09-25 10:29:54+00:00,2022-09-28 11:46:00+00:00,17883534
777745,16314108,,5346,SIEUTHIHANGCONGNGHE,4,,,2022-06-15 08:28:39+00:00,2022-06-17 16:59:21+00:00,16750961
5671575,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2022-09-17 07:46:04+00:00,2022-09-21 11:12:17+00:00,17835929
17439839,16314108,,3476,BigBuy,3,,,2021-11-09 22:46:31+00:00,2021-11-13 14:29:04+00:00,13170316
17739760,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2022-07-03 13:44:22+00:00,2022-07-06 11:28:05+00:00,17029181
23755653,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2022-05-01 02:27:08+00:00,2022-05-06 16:34:04+00:00,16231919
17503595,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2022-03-04 13:27:23+00:00,2022-03-09 12:58:15+00:00,15886634
22818345,16314108,,5346,SIEUTHIHANGCONGNGHE,1,,,2022-03-17 11:16:13+00:00,2022-03-20 09:29:20+00:00,15518162
22633265,16314108,,5346,SIEUTHIHANGCONGNGHE,4,,,2022-03-04 15:22:47+00:00,2022-03-09 09:40:38+00:00,15333120
21865234,16314108,,3476,BigBuy,3,,,2021-12-14 08:08:42+00:00,2021-12-20 16:34:44+00:00,14360183
11567494,16314108,,5346,SIEUTHIHANGCONGNGHE,4,,,2021-04-04 03:10:33+00:00,2021-04-06 09:31:19+00:00,10156097
10425299,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2021-10-31 07:55:33+00:00,2021-11-02 14:41:50+00:00,13765248
1940113,16314108,,3476,BigBuy,4,,,2021-11-10 13:29:46+00:00,2021-11-12 16:05:20+00:00,13597123
25141397,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-11-20 04:05:39+00:00,2021-11-24 11:25:06+00:00,13494772
553880,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-04-03 04:49:41+00:00,2021-04-09 18:35:10+00:00,10468467
19363935,16314108,,3476,BigBuy,3,,,2021-11-11 02:17:14+00:00,2021-11-18 22:54:19+00:00,13357307
15605787,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-03-21 17:42:21+00:00,2021-03-26 11:07:22+00:00,8730960
17813018,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2020-12-23 15:03:36+00:00,2020-12-25 11:18:09+00:00,6488977
21115866,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-05-26 09:43:38+00:00,2021-05-27 14:36:54+00:00,11439577
22191898,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-06-16 11:54:45+00:00,2021-06-17 13:40:48+00:00,11338757
22043108,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-07-05 08:14:36+00:00,2021-07-07 10:14:52+00:00,10991951
1048888,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-07-02 11:01:03+00:00,2021-07-06 08:11:42+00:00,10950816
15704729,16314108,,5346,SIEUTHIHANGCONGNGHE,4,,,2021-06-21 13:07:16+00:00,2021-06-23 12:27:24+00:00,10630619
6713375,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2021-05-26 04:18:24+00:00,2021-05-27 14:03:56+00:00,10225952
1940113,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2021-05-13 07:44:00+00:00,2021-05-13 14:21:15+00:00,9690516
11467052,16314108,,3476,BigBuy,3,,,2020-12-27 11:02:49+00:00,2020-12-30 15:22:10+00:00,8547626
20802612,16314108,,133062,congnghevn247,3,,,2021-03-18 03:57:33+00:00,2021-03-19 11:21:55+00:00,8529963
6356175,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2021-03-09 05:02:41+00:00,2021-03-11 11:46:04+00:00,8509345
8384977,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2021-03-05 02:34:30+00:00,2021-03-08 17:16:31+00:00,8324656
19448539,16314108,,5346,SIEUTHIHANGCONGNGHE,1,,,2021-01-10 00:29:11+00:00,2021-01-15 10:02:48+00:00,6974301
14208508,16314108,,5346,SIEUTHIHANGCONGNGHE,1,,,2020-10-28 22:39:35+00:00,2020-11-03 15:37:41+00:00,6728142
11464012,16314108,,5346,SIEUTHIHANGCONGNGHE,3,,,2020-12-08 05:55:41+00:00,2020-12-12 12:38:02+00:00,6153826
211769,16314108,,5346,SIEUTHIHANGCONGNGHE,2,,,2020-11-25 12:20:53+00:00,2020-11-27 18:15:02+00:00,5805228
6330730,16314108,,45446,KỸ THUẬT TL,1,,,2019-09-25 02:30:54+00:00,2019-09-30 10:26:26+00:00,3156813
28988809,16208533,,44159,Thiết bị bán lẻ,3,,,2023-03-31 02:29:37+00:00,2023-04-03 09:03:01+00:00,19044470
26900004,16208533,,3844,NAKAPOS,4,,,2022-05-15 16:20:46+00:00,2022-05-22 11:04:22+00:00,16418251
8574722,16208533,,5346,SIEUTHIHANGCONGNGHE,2,,,2023-12-07 08:29:13+00:00,2023-12-11 09:05:52+00:00,19715968
12449274,16208533,,3844,NAKAPOS,1,,,2022-05-19 11:15:37+00:00,2022-05-22 16:16:27+00:00,16426298
6258597,16208533,,5346,SIEUTHIHANGCONGNGHE,4,,,2022-03-16 14:10:00+00:00,2022-03-18 15:40:16+00:00,15577718
7202998,16208533,,44159,Thiết bị bán lẻ,2,,,2022-05-13 09:09:46+00:00,2022-05-17 11:08:12+00:00,16463399
1465436,16208533,,101260,Siêu Thị Công Nghệ Online,4,,,2022-03-26 04:16:00+00:00,2022-03-28 08:27:26+00:00,15815741
17483670,16208533,,133062,congnghevn247,2,,,2021-11-14 03:01:22+00:00,2021-11-16 16:25:10+00:00,13290064
19301116,16208533,,3476,BigBuy,1,,,2022-10-14 00:37:11+00:00,2022-10-18 10:29:34+00:00,18111792
