customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
457991,120533324,,113115,Deli Official Store,1,,,2022-08-04 18:36:01+00:00,2022-08-06 11:07:48+00:00,17336826
5342868,120533324,,113115,Deli Official Store,3,,,2022-02-28 07:41:54+00:00,2022-03-02 11:33:48+00:00,15412174
457991,120533324,,113115,Deli Official Store,1,,,2022-08-08 07:34:01+00:00,2022-08-10 12:31:00+00:00,18255445
18242196,120533324,,113115,Deli Official Store,2,,,2021-10-24 06:53:21+00:00,2021-10-28 11:25:04+00:00,13235587
40528,120533324,,113115,Deli Official Store,4,,,2022-09-12 09:47:04+00:00,2022-09-17 09:30:14+00:00,17720417
641092,120533324,,113115,Deli Official Store,2,,,2022-06-01 11:07:31+00:00,2022-06-06 09:11:37+00:00,16593876
1678196,120533324,,113115,Deli Official Store,1,,,2022-08-10 01:24:59+00:00,2022-08-15 12:51:33+00:00,17593014
7782784,120533324,,113115,Deli Official Store,3,,,2022-10-05 01:41:26+00:00,2022-10-10 09:58:24+00:00,18049344
14909233,120533324,,113115,Deli Official Store,1,,,2021-12-01 05:57:38+00:00,2021-12-06 13:47:10+00:00,13647293
8810935,120533324,,113115,Deli Official Store,2,,,2022-03-28 01:22:47+00:00,2022-04-01 10:39:52+00:00,15738708
10923374,120533324,,113115,Deli Official Store,3,,,2022-07-26 02:59:32+00:00,2022-08-01 17:12:54+00:00,17435344
22885425,120533324,,113115,Deli Official Store,3,,,2021-10-06 08:33:44+00:00,2021-10-08 10:22:45+00:00,12492074
14689963,120533324,,113115,Deli Official Store,2,,,2022-06-30 03:11:56+00:00,2022-07-04 10:20:33+00:00,16960490
14689963,120533324,,113115,Deli Official Store,4,,,2022-06-24 01:52:10+00:00,2022-06-27 12:29:38+00:00,16871366
490594,120533324,,113115,Deli Official Store,4,,,2021-11-05 02:06:50+00:00,2021-11-09 16:06:20+00:00,13100269
26130088,120533324,,113115,Deli Official Store,1,,,2022-03-23 04:17:18+00:00,2022-03-27 10:16:31+00:00,15628832
1467162,102034411,,82274,Máy tính tiền POS Việt Nam,2,,,2021-09-25 16:58:18+00:00,2021-10-10 16:44:03+00:00,12536184
1939465,102034411,,82274,Máy tính tiền POS Việt Nam,4,,,2021-06-04 07:53:44+00:00,2021-06-10 08:57:44+00:00,10616208
20257207,214590212,,80944,Lalunavn Store,3,,,2024-07-11 03:20:42+00:00,2024-07-12 13:03:35+00:00,20021591
10036137,20693963,,54535,SAFARISG,1,,,2022-04-10 01:50:20+00:00,2022-04-12 09:34:02+00:00,16081405
13722770,274097347,,5346,SIEUTHIHANGCONGNGHE,4,,,2026-01-03 10:50:41+00:00,2026-01-08 14:52:41+00:00,20204163
17418226,248800142,,113115,Deli Official Store,2,,,2023-11-15 16:50:53+00:00,2023-11-19 11:23:51+00:00,19654201
20315169,145895903,,190800,Thiết bị mã vạch HỒNG KIM PHÁT,2,,,2022-06-02 14:19:41+00:00,2022-06-05 10:02:32+00:00,16582822
5324588,28320248,,133062,congnghevn247,1,,,2024-12-28 08:39:44+00:00,2025-01-01 17:54:56+00:00,20059486
8572092,28320248,,58004,Giấy in Bill K80,3,,,2020-07-08 02:54:02+00:00,2020-07-10 15:50:25+00:00,4092894
12037638,28320248,,106238,CDGVN,4,,,2020-10-26 02:17:29+00:00,2020-10-29 09:45:36+00:00,5455931
6690438,28320248,,133062,congnghevn247,1,,,2020-09-26 16:19:35+00:00,2020-10-01 10:50:16+00:00,7124483
6437678,26103878,,43766,Adi Ami,4,,,2022-01-05 05:49:54+00:00,2022-01-07 10:53:58+00:00,14302178
10709036,102016535,,82274,Máy tính tiền POS Việt Nam,3,,,2022-08-18 05:53:26+00:00,2022-08-20 11:10:43+00:00,17479531
2066185,102016535,,291157,THIẾT BỊ POS TÍNH TIỀN,4,,,2022-06-21 08:08:59+00:00,2022-06-23 09:24:28+00:00,17579866
10176445,102016535,,82274,Máy tính tiền POS Việt Nam,3,,,2022-07-03 11:31:41+00:00,2022-07-07 10:27:39+00:00,17050485
